234k, train_mse: 0.0027535749, test1_mse: 0.0026671193, test2_mse: 3.469445e-05
235k, train_mse: 0.002590551, test1_mse: 0.0025032952, test2_mse: 0.00018998711
236k, train_mse: 0.002432866, test1_mse: 0.0023162807, test2_mse: 5.418051e-05
237k, train_mse: 0.0024298378, test1_mse: 0.0023023286, test2_mse: 4.14363e-05
238k, train_mse: 0.0025007315, test1_mse: 0.0024545533, test2_mse: 0.00024770258
239k, train_mse: 0.002394978, test1_mse: 0.0023525204, test2_mse: 0.0013139491
240k, train_mse: 0.002066152, test1_mse: 0.0020975743, test2_mse: 0.0004970589
241k, train_mse: 0.0021117788, test1_mse: 0.0020861786, test2_mse: 0.00013182974
242k, train_mse: 0.002054564, test1_mse: 0.0020459387, test2_mse: 0.0002321758
243k, train_mse: 0.0021675902, test1_mse: 0.0021430077, test2_mse: 0.00024215465
244k, train_mse: 0.0021426044, test1_mse: 0.0021555526, test2_mse: 9.054302e-05
245k, train_mse: 0.0022420401, test1_mse: 0.0022800488, test2_mse: 0.00013906384
246k, train_mse: 0.0022389337, test1_mse: 0.00227219, test2_mse: 0.0003072117
